review,rating,date,bank,source,review_length,word_count,rating_category,sentiment_polarity,year,month
Very convenient for paying bills and checking account balance anytime.,4,2025-02-11,Dashen Bank,Google Play,70,10,Good,Positive,2025,2
Regular banking app - works fine for checking balance and simple transfers. Been using this app for months now.,3,2023-07-01,Dashen Bank,Google Play,111,19,Average,Neutral,2023,7
The app is stable and reliable. Never had any technical issues.,4,2024-10-10,Dashen Bank,Google Play,63,11,Good,Positive,2024,10
Decent banking app with basic features. Nothing special but gets the job done. Update Still having the same experience.,3,2024-05-05,Dashen Bank,Google Play,119,19,Average,Neutral,2024,5
Amazing app! Makes mobile banking incredibly easy and secure.,4,2024-12-01,Dashen Bank,Google Play,61,9,Good,Positive,2024,12
Functional but not exceptional. Meets basic banking needs adequately.,3,2025-01-14,Dashen Bank,Google Play,69,9,Average,Neutral,2025,1
Poor customer service. No response to my complaints about app errors. Update Still having the same experience.,2,2023-10-17,Dashen Bank,Google Play,110,17,Poor,Negative,2023,10
Quick and secure payments. The app works perfectly on my phone.,2,2025-05-12,Dashen Bank,Google Play,63,11,Poor,Negative,2025,5
Perfect for daily banking needs. All features work as expected.,4,2025-02-17,Dashen Bank,Google Play,63,10,Good,Positive,2025,2
Fast money transfer feature is amazing. No more long queues at the bank!,5,2023-09-19,Dashen Bank,Google Play,72,13,Excellent,Positive,2023,9
"Acceptable app performance though it could be faster and more responsive. Comparing to other banks, this is my experience.",3,2025-04-10,Dashen Bank,Google Play,122,19,Average,Neutral,2025,4
Functional but not exceptional. Meets basic banking needs adequately. Update Still having the same experience.,3,2024-01-22,Dashen Bank,Google Play,110,15,Average,Neutral,2024,1
Security concerns - app doesn t feel safe for financial transactions.,2,2024-08-04,Dashen Bank,Google Play,69,11,Poor,Negative,2024,8
App keeps crashing when I try to make payments. Very frustrating! Hope they continue to improve.,2,2024-08-03,Dashen Bank,Google Play,96,16,Poor,Negative,2024,8
Functional but not exceptional. Meets basic banking needs adequately. Overall satisfied with the service.,3,2024-07-06,Dashen Bank,Google Play,105,14,Average,Neutral,2024,7
Login issues persist for weeks. Cannot access my account properly.,1,2024-03-15,Dashen Bank,Google Play,66,10,Very Poor,Negative,2024,3
Great user experience! The design is modern and intuitive.,5,2023-11-02,Dashen Bank,Google Play,58,9,Excellent,Positive,2023,11
Love the new features. Makes banking so much easier than going to the branch. Hope they continue to improve.,4,2025-04-24,Dashen Bank,Google Play,108,19,Good,Positive,2025,4
Excellent mobile banking app! Very user-friendly interface and fast transactions. Been using this app for months now.,4,2024-07-20,Dashen Bank,Google Play,117,17,Good,Positive,2024,7
App works fine but could use some improvements in the user interface.,3,2024-10-31,Dashen Bank,Google Play,69,12,Average,Neutral,2024,10
Very slow loading times. Takes forever to complete simple transactions. Been using this app for months now.,1,2024-01-18,Dashen Bank,Google Play,107,17,Very Poor,Negative,2024,1
Excellent mobile banking app! Very user-friendly interface and fast transactions. Overall satisfied with the service.,4,2025-01-18,Dashen Bank,Google Play,117,15,Good,Positive,2025,1
Outstanding customer service through the app. Highly recommended! Overall satisfied with the service.,4,2025-05-21,Dashen Bank,Google Play,101,13,Good,Positive,2025,5
Love the new features. Makes banking so much easier than going to the branch.,2,2025-02-10,Dashen Bank,Google Play,77,14,Poor,Negative,2025,2
App works fine but could use some improvements in the user interface. Been using this app for months now.,3,2025-05-02,Dashen Bank,Google Play,105,19,Average,Neutral,2025,5
Regular banking app - works fine for checking balance and simple transfers. Hope they continue to improve.,3,2023-10-21,Dashen Bank,Google Play,106,17,Average,Neutral,2023,10
App works as expected. Would like to see more payment options added.,3,2024-07-09,Dashen Bank,Google Play,68,12,Average,Neutral,2024,7
Standard banking app with room for improvement in user experience.,3,2023-11-07,Dashen Bank,Google Play,66,10,Average,Neutral,2023,11
App keeps crashing when I try to make payments. Very frustrating!,2,2024-01-18,Dashen Bank,Google Play,65,11,Poor,Negative,2024,1
Bill payment feature never works properly. Always shows server errors.,2,2025-04-18,Dashen Bank,Google Play,70,10,Poor,Negative,2025,4
Best banking app I ve used. Transaction history is very clear and detailed.,4,2024-12-15,Dashen Bank,Google Play,75,13,Good,Positive,2024,12
Amazing app! Makes mobile banking incredibly easy and secure. Update Still having the same experience.,4,2024-08-13,Dashen Bank,Google Play,102,15,Good,Positive,2024,8
The app is okay for simple transactions but lacks advanced features.,3,2025-05-13,Dashen Bank,Google Play,68,11,Average,Neutral,2025,5
Outstanding customer service through the app. Highly recommended! Been using this app for months now.,5,2023-08-28,Dashen Bank,Google Play,101,15,Excellent,Positive,2023,8
Decent banking app with basic features. Nothing special but gets the job done.,3,2025-06-03,Dashen Bank,Google Play,78,13,Average,Neutral,2025,6
Login issues persist for weeks. Cannot access my account properly. Overall satisfied with the service.,2,2024-10-29,Dashen Bank,Google Play,102,15,Poor,Negative,2024,10
Average mobile banking experience. Some features work better than others.,3,2024-05-07,Dashen Bank,Google Play,73,10,Average,Neutral,2024,5
Love the new features. Makes banking so much easier than going to the branch. Overall satisfied with the service.,5,2023-07-23,Dashen Bank,Google Play,113,19,Excellent,Positive,2023,7
Outstanding customer service through the app. Highly recommended!,4,2024-08-31,Dashen Bank,Google Play,65,8,Good,Positive,2024,8
"Excellent mobile banking app! Very user-friendly interface and fast transactions. Comparing to other banks, this is my experience.",5,2023-10-16,Dashen Bank,Google Play,130,18,Excellent,Positive,2023,10
Security concerns - app doesn t feel safe for financial transactions. Update Still having the same experience.,1,2025-03-14,Dashen Bank,Google Play,110,17,Very Poor,Negative,2025,3
The app frequently logs me out during transactions. Needs major improvements.,2,2023-07-15,Dashen Bank,Google Play,77,11,Poor,Negative,2023,7
Excellent mobile banking app! Very user-friendly interface and fast transactions. Hope they continue to improve. Still my opinion.,4,2023-12-03,Dashen Bank,Google Play,130,18,Good,Positive,2023,12
"Amazing app! Makes mobile banking incredibly easy and secure. Comparing to other banks, this is my experience.",5,2024-04-22,Dashen Bank,Google Play,110,17,Excellent,Positive,2024,4
Excellent mobile banking app! Very user-friendly interface and fast transactions.,4,2024-08-31,Dashen Bank,Google Play,81,10,Good,Positive,2024,8
Best banking app I ve used. Transaction history is very clear and detailed. Still my opinion.,4,2023-10-30,Dashen Bank,Google Play,93,16,Good,Positive,2023,10
Outstanding customer service through the app. Highly recommended! Overall satisfied with the service. Posting again to emphasize.,4,2023-09-03,Dashen Bank,Google Play,129,17,Good,Positive,2023,9
Fast money transfer feature is amazing. No more long queues at the bank! Overall satisfied with the service.,4,2025-05-06,Dashen Bank,Google Play,108,18,Good,Positive,2025,5
"Mixed experience - some features are good while others need work. Comparing to other banks, this is my experience.",3,2024-09-22,Dashen Bank,Google Play,114,19,Average,Neutral,2024,9
Great user experience! The design is modern and intuitive. Overall satisfied with the service.,4,2024-08-13,Dashen Bank,Google Play,94,14,Good,Positive,2024,8
Worst banking app experience! Constantly freezes and crashes.,2,2024-05-17,Dashen Bank,Google Play,61,8,Poor,Negative,2024,5
Smooth and efficient. Customer support is very responsive. Hope they continue to improve.,5,2024-09-27,Dashen Bank,Google Play,89,13,Excellent,Positive,2024,9
Unable to check account balance. App is unreliable and buggy.,2,2024-12-10,Dashen Bank,Google Play,61,10,Poor,Negative,2024,12
Outdated interface and confusing navigation. Needs complete redesign.,1,2024-10-28,Dashen Bank,Google Play,69,8,Very Poor,Negative,2024,10
"Perfect for daily banking needs. All features work as expected. Comparing to other banks, this is my experience.",5,2024-08-19,Dashen Bank,Google Play,112,18,Excellent,Positive,2024,8
Worst banking app experience! Constantly freezes and crashes. Been using this app for months now.,2,2024-02-12,Dashen Bank,Google Play,97,15,Poor,Negative,2024,2
Terrible user experience. The app is slow and unresponsive.,1,2025-04-15,Dashen Bank,Google Play,59,9,Very Poor,Negative,2025,4
Great user experience! The design is modern and intuitive. Been using this app for months now.,4,2023-08-04,Dashen Bank,Google Play,94,16,Good,Positive,2023,8
Acceptable app performance though it could be faster and more responsive.,3,2023-08-29,Dashen Bank,Google Play,73,11,Average,Neutral,2023,8
Regular banking app - works fine for checking balance and simple transfers. Overall satisfied with the service.,3,2023-12-06,Dashen Bank,Google Play,111,17,Average,Neutral,2023,12
The app is okay for simple transactions but lacks advanced features. Been using this app for months now.,3,2024-10-28,Dashen Bank,Google Play,104,18,Average,Neutral,2024,10
"App keeps crashing when I try to make payments. Very frustrating! Comparing to other banks, this is my experience.",1,2023-12-25,Dashen Bank,Google Play,114,19,Very Poor,Negative,2023,12
"The app is stable and reliable. Never had any technical issues. Comparing to other banks, this is my experience.",4,2024-07-07,Dashen Bank,Google Play,112,19,Good,Positive,2024,7
"Update Perfect for daily banking needs. All features work as expected. Comparing to other banks, this is my experience.",4,2025-02-05,Dashen Bank,Google Play,119,19,Good,Positive,2025,2
Regular banking app - works fine for checking balance and simple transfers. Still my opinion.,3,2023-08-24,Dashen Bank,Google Play,93,15,Average,Neutral,2023,8
Basic functionality is there but the design could be more modern.,3,2024-03-08,Dashen Bank,Google Play,65,11,Average,Neutral,2024,3
Love the new features. Makes banking so much easier than going to the branch. Posting again to emphasize.,5,2024-09-01,Dashen Bank,Google Play,105,18,Excellent,Positive,2024,9
Excellent mobile banking app! Very user-friendly interface and fast transactions. Update Still having the same experience.,5,2024-05-08,Dashen Bank,Google Play,122,16,Excellent,Positive,2024,5
Login issues persist for weeks. Cannot access my account properly. Hope they continue to improve.,1,2024-09-17,Dashen Bank,Google Play,97,15,Very Poor,Negative,2024,9
Fast money transfer feature is amazing. No more long queues at the bank! Been using this app for months now.,4,2024-06-01,Dashen Bank,Google Play,108,20,Good,Positive,2024,6
Amazing app! Makes mobile banking incredibly easy and secure. Posting again to emphasize.,4,2025-03-10,Dashen Bank,Google Play,89,13,Good,Positive,2025,3
Mixed experience - some features are good while others need work.,3,2024-07-01,Dashen Bank,Google Play,65,11,Average,Neutral,2024,7
Standard banking app with room for improvement in user experience. Still my opinion.,3,2025-05-31,Dashen Bank,Google Play,84,13,Average,Neutral,2025,5
Outstanding customer service through the app. Highly recommended! Hope they continue to improve.,4,2024-03-05,Dashen Bank,Google Play,96,13,Good,Positive,2024,3
The app is stable and reliable. Never had any technical issues. Update Still having the same experience.,4,2024-07-30,Dashen Bank,Google Play,104,17,Good,Positive,2024,7
Poor customer service. No response to my complaints about app errors. Hope they continue to improve.,2,2025-04-24,Dashen Bank,Google Play,100,16,Poor,Negative,2025,4
Very slow loading times. Takes forever to complete simple transactions.,2,2024-08-14,Dashen Bank,Google Play,71,10,Poor,Negative,2024,8
Worst banking app experience! Constantly freezes and crashes. Hope they continue to improve.,2,2023-08-31,Dashen Bank,Google Play,92,13,Poor,Negative,2023,8
"Basic functionality is there but the design could be more modern. Comparing to other banks, this is my experience.",3,2023-08-18,Dashen Bank,Google Play,114,19,Average,Neutral,2023,8
Update Great user experience! The design is modern and intuitive.,5,2024-01-05,Dashen Bank,Google Play,65,10,Excellent,Positive,2024,1
Outdated interface and confusing navigation. Needs complete redesign. Hope they continue to improve.,1,2023-09-27,Dashen Bank,Google Play,100,13,Very Poor,Negative,2023,9
Acceptable app performance though it could be faster and more responsive. Been using this app for months now.,3,2024-07-27,Dashen Bank,Google Play,109,18,Average,Neutral,2024,7
Amazing app! Makes mobile banking incredibly easy and secure. Overall satisfied with the service.,4,2024-01-31,Dashen Bank,Google Play,97,14,Good,Positive,2024,1
Bill payment feature never works properly. Always shows server errors. Overall satisfied with the service.,1,2025-05-23,Dashen Bank,Google Play,106,15,Very Poor,Negative,2025,5
Quick and secure payments. The app works perfectly on my phone. Overall satisfied with the service.,4,2024-12-23,Dashen Bank,Google Play,99,16,Good,Positive,2024,12
Cannot transfer money - app shows error messages constantly.,2,2023-08-14,Dashen Bank,Google Play,60,9,Poor,Negative,2023,8
Quick and secure payments. The app works perfectly on my phone. Been using this app for months now.,4,2025-01-18,Dashen Bank,Google Play,99,18,Good,Positive,2025,1
"Security concerns - app doesn t feel safe for financial transactions. Comparing to other banks, this is my experience. Still my opinion.",2,2024-06-28,Dashen Bank,Google Play,136,22,Poor,Negative,2024,6
Regular banking app - works fine for checking balance and simple transfers. Update Still having the same experience. Posting again to emphasize.,3,2023-06-25,Dashen Bank,Google Play,144,22,Average,Neutral,2023,6
Outstanding customer service through the app. Highly recommended! Update Still having the same experience.,5,2024-03-17,Dashen Bank,Google Play,106,14,Excellent,Positive,2024,3
Poor customer service. No response to my complaints about app errors. Been using this app for months now.,2,2025-02-13,Dashen Bank,Google Play,105,18,Poor,Negative,2025,2
Basic functionality is there but the design could be more modern. Overall satisfied with the service.,3,2025-04-24,Dashen Bank,Google Play,101,16,Average,Neutral,2025,4
Great user experience! The design is modern and intuitive. Update Still having the same experience.,5,2024-09-27,Dashen Bank,Google Play,99,15,Excellent,Positive,2024,9
Perfect for daily banking needs. All features work as expected. Update Still having the same experience.,4,2025-01-04,Dashen Bank,Google Play,104,16,Good,Positive,2025,1
Regular banking app - works fine for checking balance and simple transfers.,3,2024-11-12,Dashen Bank,Google Play,75,12,Average,Neutral,2024,11
The app frequently logs me out during transactions. Needs major improvements. Update Still having the same experience.,2,2024-05-09,Dashen Bank,Google Play,118,17,Poor,Negative,2024,5
Fast money transfer feature is amazing. No more long queues at the bank! Hope they continue to improve.,4,2023-10-23,Dashen Bank,Google Play,103,18,Good,Positive,2023,10
"Very slow loading times. Takes forever to complete simple transactions. Comparing to other banks, this is my experience.",2,2023-10-20,Dashen Bank,Google Play,120,18,Poor,Negative,2023,10
The app is stable and reliable. Never had any technical issues. Hope they continue to improve.,5,2023-07-25,Dashen Bank,Google Play,94,16,Excellent,Positive,2023,7
Decent banking app with basic features. Nothing special but gets the job done. Overall satisfied with the service.,3,2023-07-11,Dashen Bank,Google Play,114,18,Average,Neutral,2023,7
Very convenient for paying bills and checking account balance anytime. Still my opinion.,5,2024-08-23,Dashen Bank,Google Play,88,13,Excellent,Positive,2024,8
Update Bill payment feature never works properly. Always shows server errors.,2,2024-10-29,Dashen Bank,Google Play,77,11,Poor,Negative,2024,10
"App works fine but could use some improvements in the user interface. Comparing to other banks, this is my experience.",3,2024-02-02,Dashen Bank,Google Play,118,20,Average,Neutral,2024,2
Perfect for daily banking needs. All features work as expected. Still my opinion.,4,2024-12-16,Dashen Bank,Google Play,81,13,Good,Positive,2024,12
Update Outdated interface and confusing navigation. Needs complete redesign. Overall satisfied with the service.,2,2025-03-29,Dashen Bank,Google Play,112,14,Poor,Negative,2025,3
Very convenient for paying bills and checking account balance anytime. Hope they continue to improve.,4,2024-11-27,Dashen Bank,Google Play,101,15,Good,Positive,2024,11
Update Quick and secure payments. The app works perfectly on my phone.,4,2024-03-30,Dashen Bank,Google Play,70,12,Good,Positive,2024,3
Amazing app! Makes mobile banking incredibly easy and secure. Hope they continue to improve.,4,2024-03-10,Dashen Bank,Google Play,92,14,Good,Positive,2024,3
Mixed experience - some features are good while others need work. Hope they continue to improve.,3,2023-08-01,Dashen Bank,Google Play,96,16,Average,Neutral,2023,8
Update Standard banking app with room for improvement in user experience.,3,2024-04-11,Dashen Bank,Google Play,73,11,Average,Neutral,2024,4
Outstanding customer service through the app. Highly recommended! Still my opinion.,4,2024-11-12,Dashen Bank,Google Play,83,11,Good,Positive,2024,11
Worst banking app experience! Constantly freezes and crashes. Update Still having the same experience.,2,2024-07-09,Dashen Bank,Google Play,102,14,Poor,Negative,2024,7
Very slow loading times. Takes forever to complete simple transactions. Update Still having the same experience.,2,2024-03-01,Dashen Bank,Google Play,112,16,Poor,Negative,2024,3
Great user experience! The design is modern and intuitive. Hope they continue to improve.,4,2024-02-14,Dashen Bank,Google Play,89,14,Good,Positive,2024,2
Best banking app I ve used. Transaction history is very clear and detailed. Update Still having the same experience.,4,2024-09-28,Dashen Bank,Google Play,116,19,Good,Positive,2024,9
The app frequently logs me out during transactions. Needs major improvements. Been using this app for months now.,2,2025-02-23,Dashen Bank,Google Play,113,18,Poor,Negative,2025,2
Standard banking app with room for improvement in user experience. Been using this app for months now.,3,2023-11-19,Dashen Bank,Google Play,102,17,Average,Neutral,2023,11
Decent banking app with basic features. Nothing special but gets the job done. Hope they continue to improve.,3,2025-04-22,Dashen Bank,Google Play,109,18,Average,Neutral,2025,4
Unable to check account balance. App is unreliable and buggy. Been using this app for months now.,2,2024-07-04,Dashen Bank,Google Play,97,17,Poor,Negative,2024,7
The app is okay for simple transactions but lacks advanced features. Still my opinion.,3,2024-08-15,Dashen Bank,Google Play,86,14,Average,Neutral,2024,8
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2023-12-25,Dashen Bank,Google Play,71,8,Average,Neutral,2023,12
Terrible user experience. The app is slow and unresponsive. Update Still having the same experience.,2,2023-10-22,Dashen Bank,Google Play,100,15,Poor,Negative,2023,10
Average mobile banking experience. Some features work better than others. Update Still having the same experience.,3,2025-02-14,Dashen Bank,Google Play,114,16,Average,Neutral,2025,2
"Outdated interface and confusing navigation. Needs complete redesign. Comparing to other banks, this is my experience.",2,2024-08-04,Dashen Bank,Google Play,118,16,Poor,Negative,2024,8
Perfect for daily banking needs. All features work as expected. Hope they continue to improve.,4,2024-05-28,Dashen Bank,Google Play,94,15,Good,Positive,2024,5
"Great user experience! The design is modern and intuitive. Comparing to other banks, this is my experience.",5,2024-11-06,Dashen Bank,Google Play,107,17,Excellent,Positive,2024,11
Average mobile banking experience. Some features work better than others. Hope they continue to improve.,3,2025-03-17,Dashen Bank,Google Play,104,15,Average,Neutral,2025,3
Acceptable app performance though it could be faster and more responsive. Hope they continue to improve.,3,2024-05-21,Dashen Bank,Google Play,104,16,Average,Neutral,2024,5
Outdated interface and confusing navigation. Needs complete redesign. Overall satisfied with the service.,1,2025-04-29,Dashen Bank,Google Play,105,13,Very Poor,Negative,2025,4
Update Login issues persist for weeks. Cannot access my account properly.,2,2025-05-12,Dashen Bank,Google Play,73,11,Poor,Negative,2025,5
Very convenient for paying bills and checking account balance anytime. Overall satisfied with the service.,5,2024-06-13,Dashen Bank,Google Play,106,15,Excellent,Positive,2024,6
Update Love the new features. Makes banking so much easier than going to the branch.,4,2024-09-27,Dashen Bank,Google Play,84,15,Good,Positive,2024,9
The app frequently logs me out during transactions. Needs major improvements. Hope they continue to improve.,1,2024-06-25,Dashen Bank,Google Play,108,16,Very Poor,Negative,2024,6
App keeps crashing when I try to make payments. Very frustrating! Overall satisfied with the service.,2,2025-05-14,Dashen Bank,Google Play,101,16,Poor,Negative,2025,5
"Security concerns - app doesn t feel safe for financial transactions. Comparing to other banks, this is my experience.",2,2024-06-04,Dashen Bank,Google Play,118,19,Poor,Negative,2024,6
Very slow loading times. Takes forever to complete simple transactions. Overall satisfied with the service.,2,2024-03-30,Dashen Bank,Google Play,107,15,Poor,Negative,2024,3
App works fine but could use some improvements in the user interface. Update Still having the same experience.,3,2023-09-21,Dashen Bank,Google Play,110,18,Average,Neutral,2023,9
Very convenient for paying bills and checking account balance anytime. Update Still having the same experience.,4,2023-07-15,Dashen Bank,Google Play,111,16,Good,Positive,2023,7
"App works as expected. Would like to see more payment options added. Comparing to other banks, this is my experience.",3,2024-07-26,Dashen Bank,Google Play,117,20,Average,Neutral,2024,7
App works as expected. Would like to see more payment options added. Hope they continue to improve.,3,2023-10-09,Dashen Bank,Google Play,99,17,Average,Neutral,2023,10
"Terrible user experience. The app is slow and unresponsive. Comparing to other banks, this is my experience.",2,2025-01-26,Dashen Bank,Google Play,108,17,Poor,Negative,2025,1
The app is stable and reliable. Never had any technical issues. Overall satisfied with the service.,4,2025-05-24,Dashen Bank,Google Play,99,16,Good,Positive,2025,5
Quick and secure payments. The app works perfectly on my phone. Hope they continue to improve.,4,2024-12-28,Dashen Bank,Google Play,94,16,Good,Positive,2024,12
App works fine but could use some improvements in the user interface. Overall satisfied with the service.,3,2024-07-13,Dashen Bank,Google Play,105,17,Average,Neutral,2024,7
